year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
1988,8611,7,710,7,701,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We are determined to prevent dumping off our coasts and in international waters.,15
1988,8612,7,710,7,701,"Ocean dumping poses a hazard not only to marine life, but also to those who live along our coasts and to those who use them for recreation.",27
1988,8613,7,710,7,701,"Where federal laws have been violated, we will [p.68] prosecute polluters to the full extent of the law, including adherence to the 1991 federal ban on ocean dumping of sewage sludge.",31
1988,8614,7,710,7,701,"Where laws need to be strengthened, we will work at the federal, State, and local levels to do so.",19
1988,8615,7,704,7,704,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We will support all serious efforts to cope with the special problems of illegal dumping of hospital and medical waste.,22
1988,8616,7,704,7,704,We pledge close cooperation by the Environmental Protection Agency with States and industry groups to develop new approaches to the most cost-effective means for the safe disposal by responsible medical facilities.,31
1988,8617,7,704,7,704,"Those who continue to dump illegally threaten the very life and health of our communities, and we call for enactment by the States of tough new felony laws that will permit swift prosecution of these criminals.",36
1988,8618,7,700,7,700,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We will require that federal departments and agencies meet or exceed the environmental standards set for citizens in the private sector.,23
1988,8619,7,700,7,700,Many of the most serious environmental problems that will confront us in the years ahead are global in scope.,19
1988,8620,7,705,7,705,"For example, degradation of the stratospheric ozone layer poses a health hazard not only to Americans, but to all peoples around the globe.",23
1988,8621,7,705,7,705,The Reagan-Bush Administration successfully pioneered an agreement to attack this problem through world-wide action.,14
1988,8622,7,705,7,705,"In addition, we will continue to lead this effort by promoting private sector initiatives to develop new technologies and adopt processes which protect the ozone layer.",26
1988,8623,7,700,7,700,"A similar ability to develop international agreements to solve complex global problems such as tropical forest destruction, ocean dumping, climate change, and earthquakes will be increasingly vital in the years ahead.",31
1988,8624,7,700,7,700,All of these efforts will require strong and experienced leadership to lead the other nations of the world in a common effort to combat ecological dangers that threaten all peoples.,30
1988,8625,7,700,7,700,"The Republican Party believes that, toward this end, the National Oceanic and Atmospheric Administration should be joined with the Environmental Protection Agency.",22
1988,8626,7,700,7,700,We all have a stake in maintaining the environmental balance and ecological health of our planet and our country.,19
1988,8627,7,700,7,700,"As Republicans, we hold that it is of critical importance to preserve our national heritage.",15
1988,8628,7,700,7,700,We must assure that programs for economic growth and opportunity sustain the natural abundance of our land and waters and protect the health and well-being of our citizens.,28
1988,8629,7,700,7,700,"As a nation, we should take pride in our accomplishments and look forward to fulfilling our obligation of leaving this land an even better place for our children and future generations. [p.69]",32
1992,10337,7,711,7,711,"While supporting conservation, we reject the notion that there are limits to growth.",13
1992,10385,7,711,7,711,"We support farm conservation efforts, both those pioneered in our 1985 Farm Bill and entirely voluntary undertakings, which result in three times as much erosion control as those mandated by law.",31
1992,10386,7,711,7,711,"We support the Conservation Reserve, with more than 35 million acres now enrolled.",13
1992,10387,7,711,7,711,It shows what farmers can do through incentives rather than government controls.,12
1992,10388,7,709,7,709,We value our Nation's real wetlands habitat and the diversity of our native animal and plant life.,17
1992,10389,7,709,7,709,"We oppose, however, bureaucratic harassment of farm, ranch, and timber families under statutes regarding endangered species and wetlands.",18
1992,10390,7,709,7,709,"When actions are required to protect an endangered species, we recognize that jobs can be lost, communities displaced, and economic progress for all denied.",24
1992,10391,7,709,7,709,"Accordingly, prior to the implementation of a recovery plan for a species declared to be endangered, we will require the Congress to affirm the priority of the species on the endangered list and the specific measures to be taken in any recovery plan.",43
1992,10392,7,709,7,709,These acts should not rest with the rubber stamp of a bureaucrat.,12
1992,10393,7,710,7,701,"With regard to wetlands, following our principle that environmental protection be reasonable, land that is not truly wet should not be classified as a [p.53] wetland.",26
1992,10394,7,710,7,701,Protection of environmentally sensitive wetlands must not come at the price of disparaging landowners' property rights.,16
1992,10433,7,705,7,705,We oppose any attempt to impose a carbon tax as proposed by liberal Democrats.,14
1992,10456,7,705,7,705,This progress would be wiped out by the Democrats' draconian plan for higher Corporate Average Fuel Economy (CAFE) standards.,19
1992,10457,7,705,7,705,Their national nominees want to require a 45 miles-per-gallon standard.,10
1992,10458,7,705,7,705,"That means unsafe vehicles, reduced consumer choice, higher car costs, and a loss of 300,000 jobs in the auto industry here at home.",23
1992,10479,7,700,7,700,"Cleaning up America is a labor of love for family, neighborhood, and Nation.",13
1992,10480,7,700,7,700,"In the Republican tradition of conserving the past to enrich the future, we have made the United States the world's leader in environmental progress.",24
1992,10481,7,700,7,700,We spend more than any other country on environmental protection.,10
1992,10482,7,700,7,700,"Over the last 20 years, our country has spent $1 trillion to clean its air, water, and land.",18
1992,10483,7,705,7,705,We increased GNP by 70 percent while cutting lead in the air by 97 percent.,15
1992,10484,7,700,7,700,Our rivers run cleaner than ever in memory.,8
1992,10485,7,700,7,700,"We've preserved parks, wilderness, and wildlife.",6
1992,10486,7,700,7,700,"The price of progress is now about $115 billion a year, almost two percent of GNP;",16
1992,10487,7,700,7,700,and that will grow to three percent by 2000.,9
1992,10488,7,700,7,700,Clearly we have led the world in investment in environmental protection.,11
1992,10489,7,700,7,700,We have taught the world three vital lessons.,8
1992,10490,7,700,7,700,"First, environmental progress is integrally related to economic advancement.",9
1992,10491,7,700,7,700,"Second, economic growth generates the capital to pay for environmental gains.",11
1992,10492,7,700,7,700,"Third, private ownership and economic freedom are the best security against environmental degradation.",13
1992,10493,7,700,7,700,"The ghastly truth about state socialism is now exposed in what used to be the Soviet Union: dead rivers and seas, poisoned land, dying people.",25
1992,10494,7,700,7,700,Liberal Democrats think people are the problem.,7
1992,10495,7,700,7,700,We know people are the solution.,6
1992,10496,7,700,7,700,"Respecting the people's rights and views, we applied market-based solutions to environmental problems.",13
1992,10497,7,705,7,705,"President Bush's landmark Clean Air Act Amendments of 1990, the toughest environmental law ever enacted, uses an innovative system of emission credits to achieve its dramatic reductions.",27
1992,10498,7,705,7,705,This will save $1 billion over the Democrats' command-and-control approach.,10
1992,10499,7,705,7,705,"Other provisions of that law will cut acid rain emissions in half, reduce toxic pollutants by 90 percent, reduce smog, and speed the use of cleaner fuels.",27
1992,10500,7,710,7,701,The President' s leadership has doubled spending for real wetlands and targeted one million acres for a wetlands reserve through his Farm Bill of 1990.,25
1992,10501,7,700,7,700,"We have collected more civil penalties from polluters in two years than in the previous twenty, begun the phase-out of substances that harm the ozone layer, [p.58] and launched a long-term campaign to expand and improve national parks, forests, and recreation areas, adding 1.5 million acres.",46
1992,10502,7,700,7,700,President Bush has dramatically increased spending for cleaning up past environmental damage caused by federal facilities.,16
1992,10503,7,709,7,709,Our reforestation drive will plant one billion trees a year across America.,12
1992,10505,7,700,7,700,Our farm policies have begun a new era in sound agricultural environmentalism.,12
1992,10506,7,705,7,705,"Because the environment knows no boundaries, President Bush has accelerated U.S. research on global climate change, spending $2.7 billion in the last three years and requesting $1.4 billion for 1993, more than the rest of the world put together.",39
1992,10507,7,700,7,700,"Under his leadership, we have assisted nations from the Third World to Eastern Europe in correcting the environmental damage inflicted by socialism.",22
1992,10508,7,709,7,709,We proposed a worldwide forestry convention and gave almost half a billion dollars to forest conservation.,16
1992,10509,7,700,7,700,We won debt-for-nature swaps and environmental trust funds in Latin America and the Caribbean.,14
1992,10510,7,704,7,704,We secured prohibitions against unilateral export or dumping of hazardous waste.,11
1992,10511,7,709,7,709,"We led the international ban on trade in ivory, persuaded Japan to end driftnet fishing, streamlined response to oil spills, and increased environmental protection for Antarctica.",26
1992,10512,7,705,7,705,Adverse changes in climate must be the common concern of mankind.,11
1992,10513,7,705,7,705,"At the same time, we applaud our President for personally confronting the international bureaucrats at the Rio Conference.",18
1992,10514,7,705,7,705,He refused to accept their anti-American demands for income redistribution and won instead a global climate treaty that relies on real action plans rather than arbitrary targets hostile to U.S. growth and workers.,33
1992,10515,7,705,7,705,"Following his example, a Republican Senate will not ratify any treaty that moves environmental decisions beyond our democratic process or transfers beyond our shores authority over U.S. property.",28
1992,10516,7,705,7,705,"The Democrats' national candidates, on the other hand, insist the U.S. must do what our foreign competitors refuse to do: abolish 300,000 to 1,000,000 jobs to get a modest reduction in ""greenhouse gases.""",33
1992,10517,7,700,7,700,Environmental progress must continue in tandem with economic growth.,9
1992,10518,7,700,7,700,Crippling an industry is no solution at all.,8
1992,10519,7,700,7,700,Bankrupt facilities only worsen environmental situations.,6
1992,10523,7,700,7,700,"Although the average family of four now pays $1,000 a year for environmental controls, liberal Democrats want to tighten the squeeze.",21
1992,10524,7,700,7,700,"They use junk science to foster hysteria [p.59] instead of reason, demanding rigid controls, more taxes, and less resource production.",20
1992,10525,7,700,7,700,"However, with billions of dollars at stake in national production and jobs, not to mention our quality of life, our decisions to spend on environmental protection must not be determined by the politics of the moment.",36
1992,10526,7,700,7,700,We will use scientifically respectable risk-benefit assessments to settle environmental controversies.,11
1992,10527,7,700,7,700,"It is time to replace knee-jerk reactions with the kind of scientific analysis that helps businesses, individuals, and communities contribute to economic and environmental progress through flexible application of laws.",30
1992,10528,7,700,7,700,"We must base our environmental policies on real risks to human health, determined by sound, peer-reviewed science, including procedures for what is an acceptable risk.",25
1992,10530,7,704,7,704,We will legislatively overhaul the Superfund program to speed the clean up of hazardous waste and more efficiently use Superfund dollars.,21
1992,10532,7,700,7,700,We will work with U.S. industry and labor to identify promising markets abroad where America's environmental know-how can carry our success story to the rest of planet earth.,28
1996,11815,7,700,7,700,"Our goal is to continue the progress we have made to achieve a cleaner, safer, healthier environment for all Americans - and to pass on to our children and grandchildren a better environment than we have today.√≠_",37
1996,11816,7,700,7,700,"We must recognize the unique role our States, localities, and private sector have in improving our environment.√≠_",17
1996,11817,7,700,7,700,The States and communities are the laboratories of environmental innovation.√≠_,10
1996,11818,7,700,7,700,"Inflexible requirements hurt the environment, add unnecessary costs, and reduce technology development.√≠_",12
1996,11819,7,700,7,700,"While we have made substantial environmental progress, we must reject failed approaches created by fearmongering and centralized control which will not serve our environment well in the century ahead.",29
1996,11820,7,704,7,704,The Superfund program to clean up abandoned toxic waste sites is a classic case in point.√≠_,16
1996,11821,7,704,7,704,More than half of the $30 billion already spent on Superfund has gone for litigation and administration.√≠_,17
1996,11822,7,704,7,704,"In other words, trial lawyers have profited from the current flawed and unfair liability scheme, while toxic waste sites wait to be cleaned up.√≠_",24
1996,11823,7,704,7,704,"Without the opposition of Bill Clinton, we will fix the broken Superfund law.√≠_",13
1996,11824,7,704,7,704,"We will direct resources to clean-up sites where there are real risks, and cooperate with citizens, States, and localities who want to help, rather than harassing them with unwarranted lawsuits.√≠_√≠_",30
1996,11825,7,704,7,704,"The States have been leaders in returning contaminated sites to productive use under ""brownfields"" programs.",15
1996,11826,7,704,7,704,"These programs tailor clean-up standards appropriate for expected future use, thus enabling environmental cleanup and economic development.",17
1996,11827,7,704,7,704,"Accordingly, as an essential component of our comprehensive Superfund reform, we will remove disincentives in current Federal law in order to allow States to expand their innovative ""brownfields"" programs.√≠_",29
1996,11831,7,700,7,700,Republicans trust Americans to honor their shared desire to live and raise their children in a clean and healthy environment.√≠_,20
1996,11832,7,700,7,700,"For all environmental problems, we propose a common sense approach based on flexibility and consensus, that builds a better future on free enterprise, local control, sound science, and technology development.√≠_",30
1996,11833,7,700,7,700,This is our positive and proactive agenda:assure that the air and water are clean and safe for our children and future generations;,22
1996,11836,7,700,7,700,"set reasonable standards for environmental improvement that incorporate flexibility, acknowledge geographic differences, and create incentives for development of new technologies;",20
1996,11837,7,798,7,798,"base all government environmental decisions on the best peer-reviewed scientific evidence, while encouraging advancements in research;",16
1996,11838,7,700,7,700,"achieve progress, as much as possible, through incentives rather than compulsion, and improve compliance by letting States and localities play a greater role in setting and maintaining standards.√≠_",28
1996,11839,7,700,7,700,"Many States have enacted environmental education and ""voluntary self-audit"" laws to encourage people to find and correct pollution;",18
1996,11840,7,700,7,700,the Congress should remove disincentives for States to achieve these goals; and,12
1996,11841,7,700,7,700,"assure private property owners of due process to protect their rights, and make environmental decisions in concert with those whose homes, businesses, and communities are directly affected.",27
1996,11842,7,701,7,701,Our commitment to an improved environment is best embodied in the recently enacted amendments to the Safe Drinking Water Act.√≠_,20
1996,11843,7,701,7,701,This Republican initiative will guarantee all Americans a safe and clean source of drinking water and will grant local communities the flexibility to avoid unnecessary requirements.,26
1996,11844,7,700,7,700,The Clinton Democrats disagree with our principles.√≠_,7
1996,11845,7,700,7,700,"They have increased spending by creating new bureaucratic programs, creating new paperwork requirements, and funding pet projects of their special interest friends.√≠_",22
1996,11846,7,700,7,700,"However, the Clinton Administration has failed to reduce regulatory burdens on States, localities, and individuals.√≠_",15
1996,11847,7,700,7,700,It has failed to create incentives for environmental improvements or use sound science and cooperation to achieve environmental goals.,19
1996,11848,7,705,7,705,"Today, they are planning to impose scientifically unsupported, massive new regulations on ozone and particulates.√≠_",15
1996,11849,7,705,7,705,"These rules will impose new requirements on cities, add unnecessary costs, and destroy jobs without adequate justification.",17
1996,11850,7,701,7,701,Republicans support the ongoing efforts of the States and communities to ensure reliable and safe water supplies.√≠_,17
1996,11853,7,709,7,709,"Republicans have always advocated conserving our animal and plant resources, but we recognize the current Endangered Species Act is seriously flawed and, indeed, is often counterproductive because of its reliance on Federal command-and-control measures.√≠_",34
1996,11854,7,709,7,709,The adherence of Clinton Democrats to these discredited ESA provisions has devastated the environment they pretend to protect by virtually encouraging landowners to remove habitat for marginal species to avoid government seizure of their property.√≠_,35
1996,11855,7,709,7,709,"We will improve the ESA by implementing an incentive-based program in cooperation with State, local, and tribal governments and private individuals to recognize the critical relationship between a healthy environment and a healthy economy founded on private property rights and responsibilities.√≠_√≠_",41
1996,11862,7,700,7,700,"We will preserve priority wilderness and wetlands - real wetlands of environmental significance, not the damp grounds of a bureaucrat's imagination.",21
1996,11894,7,705,7,705,"Now the Clinton Administration demands lighter cars and family trucks to meet its Corporate Average Fuel Economy (CAFE) goals, at the cost of thousands of lives lost every year in auto accidents - not to mention the cost in jobs lost to foreign auto makers.√≠_",45
1996,11895,7,704,7,704,Nowhere has the failure of presidential leadership been more apparent than in Clinton's position on finding a reasonable long-term solution to our Nation's nuclear waste disposal problem.√≠_,27
1996,11896,7,704,7,704,We support the federal government's obligation under contract to take possession of nuclear waste and remove it from temporary storage in over 30 states across the country.√≠_,27
1996,11897,7,704,7,704,"At the same time, we believe that the siting and licensing of both permanent and interim storage facilities should be based on sound science and not solely upon political expediency.",30
1996,11921,7,705,7,705,The United States should continue its commitment to addressing global climate change in a prudent and effective manner that does not punish the U.S. economy.√≠_,25
1996,11922,7,705,7,705,"Despite scientific uncertainty about the role of human activity in climate change, the Clinton Administration has leapfrogged over reasoned scientific inquiry and now favors misdirected measures, such as binding targets and timetables, imposed only on the United States and certain other developed countries, to further reduce greenhouse gas emissions.√≠_",49
1996,11923,7,705,7,705,Republicans deplore the arbitrary and premature abandonment of the previous policy of voluntary reductions of greenhouse gas emissions.√≠_,18
1996,11948,7,711,7,711,"It continues the Conservation and Wetland Reserve Programs and creates a new Environmental Quality Incentive Program to help farmers do what they do best - conserve the land and pass it on, enriched and enhanced, to future generations.",38
2000,13066,7,700,7,700,"√≠√çAs an avid outdoorsman, I know all our prosperity as a nation will mean little if we leave future generations a world of polluted air, toxic waste, and vanished wilderness and forests.√≠√± √≠√Ø George W. Bush",36
2000,13067,7,700,7,700,"Today√≠¬¥s Republican party stands in the proud tradition of Teddy Roosevelt, the first president to stress the importance of environmental conservation.",21
2000,13068,7,700,7,700,"We approach both the national and individual stewardship of natural resources in the spirit of his maxim: ""The nation behaves well if it treats the natural resources as assets which it must turn over to the next generation increased, and not impaired, in value.""",44
2000,13069,7,700,7,700,"Over the past three decades, we have made progress.",9
2000,13070,7,700,7,700,Air and water are cleaner.,5
2000,13071,7,709,7,709,Some endangered species have made comebacks.,6
2000,13072,7,710,7,701,Wetlands are being preserved.,4
2000,13073,7,707,7,707,Recycling is commonplace in our homes.,6
2000,13074,7,700,7,700,That progress itself has brought us to the threshold of a new era in environmental policy.,16
2000,13075,7,700,7,700,"The lessons we have learned over the last three decades, along with the steady advance of environmental technology, gives us the opportunity to explore better ways to achieve even higher goals.",31
2000,13076,7,700,7,700,Our way is to trust the innate good sense and decency of the American people.,15
2000,13077,7,700,7,700,"We will make them partners with government, rather than adversaries of it.",12
2000,13078,7,700,7,700,The way current laws have been implemented has often fostered costly litigation and discouraged personal innovation in environmental conservation.,19
2000,13079,7,700,7,700,"We need to get back on a common track, so that both the people and their government can jointly focus on the real problems at hand.",26
2000,13080,7,700,7,700,"As a basis for that cooperation, we propose these principles:",10
2000,13081,7,700,7,700,Economic prosperity and environmental protection must advance together.,8
2000,13082,7,700,7,700,"Prosperity gives our society the wherewithal to advance environmental protection, and a thriving natural environment enhances the quality of life that makes prosperity worthwhile.",24
2000,13083,7,700,7,700,"Scare tactics and scapegoating of legitimate economic interests undermine support for environmental causes and, what is worse, can discredit actual threats to health and safety.",25
2000,13084,7,700,7,700,"Environmental regulations should be based upon the best science, peer-reviewed, and available for public consideration.",15
2000,13085,7,700,7,700,"We support the federal, local, state, and tribal responsibilities for environmental protection.",12
2000,13086,7,700,7,700,We believe the government√≠¬¥s main role should be to provide market-based incentives to innovate and develop the new technologies for Americans to meet √≠√Ø and exceed √≠√Ø environmental standards.,29
2000,13087,7,700,7,700,We condemn the current administration√≠¬¥s policy of resorting to confrontation first.,11
2000,13088,7,700,7,700,Instead we should work cooperatively to ensure that our environmental policy meets the particular needs of geographic regions and localities.,20
2000,13089,7,700,7,700,"Environmental policy should focus on achieving results √≠√Ø cleaner air, water, and lands √≠√Ø not crafting bureaucratic processes.",18
2000,13090,7,700,7,700,"Where environmental standards are violated, the government should take consistent enforcement.",11
2000,13091,7,700,7,700,"While the very nature of environmental concerns at times requires federal intervention, the heartening progress made by many of the states and localities demonstrates their unique ability to solve problems at the local level.",34
2000,13092,7,700,7,700,"As the laboratories of innovation, they should be given flexibility, authority, and finality by the federal government.",17
2000,13093,7,700,7,700,Many states have enacted environmental education and voluntary self-audit laws to encourage people to find and correct pollution;,18
2000,13094,7,700,7,700,the Congress should remove disincentives for states to achieve these goals.,11
2000,13095,7,700,7,700,"Strong leadership by governors, legislators, and local officials is the key to solving the emerging environmental issues of this new century.",21
2000,13096,7,701,7,701,"For example, the reauthorization of the Safe Drinking Water Act by the Republican Congress enabled states and communities to take stronger action to ensure reliable and safe water supplies.",29
2000,13097,7,704,7,704,Another example is the way states are handling the problem of brownfields.,12
2000,13098,7,704,7,704,"In 35 states, voluntary programs are cleaning up thousands of brownfield sites faster and more effectively, and with less litigation, than under the federal Superfund program.",26
2000,13099,7,704,7,704,"A case in point is Texas, where, under Governor Bush, the number of brownfield sites restored to productive use climbed from zero to 451, not only improving the environment but restoring more than $200 million in property value to local tax rolls, most of it in poor communities.",48
2000,13100,7,704,7,704,We will replicate Governor Bush√≠¬¥s success on the national level.,10
2000,13101,7,704,7,704,"We will use Superfund resources to actually clean up places where people live and labor, rather than waste it on costly litigation.",22
2000,13102,7,704,7,704,"The old approach of mandate, regulate, and litigate has sent potential developers away from brownfield neighborhoods.",16
2000,13103,7,704,7,704,"The result: no new businesses, no new jobs √≠√Ø only dirty and dangerous sites.",14
2000,13104,7,704,7,704,"Governor Bush has pledged to transform this failure into an environmental win for those communities, just as he did in Texas, and we heartily endorse his agenda for doing so.",30
2000,13105,7,700,7,700,"Wherever it is environmentally responsible to do so, we will promote market-based programs that are voluntary, flexible, comprehensive, and cost-effective.",20
2000,13106,7,709,7,709,"The Endangered Species Act (ESA), for example, is sometimes counter-productive toward its truly important goal of protecting rare species, 75 percent of which are located on private land.",28
2000,13107,7,709,7,709,Its punitive approach actually encourages landowners to remove habitat to avoid federal intervention.,13
2000,13108,7,709,7,709,This serves as a disincentive for private landowners to do more to restore habitat and become private stewards of wildlife.,20
2000,13109,7,709,7,709,"The legislation needs incentive-based cooperation among federal, state, local, and tribal governments, and private citizens.",15
2000,13110,7,709,7,709,The result will be a more effective ESA that better protects wildlife diversity.,13
2000,13111,7,700,7,700,"As environmental issues become increasingly international, progress will increasingly depend on strong and credible presidential leadership.",16
2000,13112,7,705,7,705,Complex and contentious issues like global warming call for a far more realistic approach than that of the Kyoto Conference.,20
2000,13113,7,705,7,705,Its deliberations were not based on the best science;,9
2000,13114,7,705,7,705,its proposed agreements would be ineffective and unfair inasmuch as they do not apply to the developing world;,18
2000,13115,7,705,7,705,"and the current administration is still trying to implement it, without authority of law.",14
2000,13116,7,705,7,705,More research is needed to understand both the cause and the impact of global warming.,15
2000,13117,7,705,7,705,"That is why the Kyoto treaty was repudiated in a lopsided, bipartisan Senate vote.",14
2000,13118,7,705,7,705,A Republican president will work with businesses and with other nations to reduce harmful emissions through new technologies without compromising America√≠¬¥s sovereignty or competitiveness √≠√Ø and without forcing Americans to walk to work.,33
2000,13119,7,700,7,700,We link the security of private property to our environmental agenda for the best of reasons: Environmental stewardship has best advanced where property is privately held.,26
2000,13120,7,700,7,700,"After all, people who live on the land, work the land, and own the land also love the land and protect it.",22
2000,13121,7,700,7,700,"As Governor Bush has said, ""For the American farmer, every day is Earth Day.""",14
2000,13122,7,700,7,700,"Conversely, the world√≠¬¥s worst cases of environmental degradation have occurred in places where most property is under government control.",19
2000,13128,7,700,7,700,"As a sign of that partnership, we applaud Governor Bush√≠¬¥s intention to make all federal facilities comply with the environmental laws by which the American people live.",27
2000,13183,7,711,7,711,"We reaffirm our support for cooperative partnerships between federal, state, and local governments and private landowners for the conservation of our soil, water and biological resources on private land.",29
